votesInFavor,distance,ateFavoriteDish,endTime,groupID,numStudentQueue,canteenTime,pastExperience,canteenExperience,canteen
0.60,0.5,1,0.767411192,1,3,3.385930255,0.6499999999999999,0.9,1
1.00,0.9,1,4.063910655,1,0,0.951358678,0.8,0.7,4
0.60,0.5,1,0.763905063,1,4,4.411296212,0.475,0.6,1
0.50,0.5,1,5.716913951,1,0,0.248675788,0.625,0.6,0
1.00,0.9,1,4.070694241,1,1,1.970843743,0.5249999999999999,0.9,4
1.00,0.0,1,1.033798763,1,5,5.109746761,0.5249999999999999,0.6,1
0.50,0.5,1,5.72368517,1,1,1.260708193,0.475,0.7,0
1.00,0.0,0,1.03184293,1,6,6.12026131,0.6,0.5,1
0.67,0.5,1,1.255416173,1,7,6.858733824,0.42500000000000004,0.6,1
0.67,0.5,0,1.262360528,1,8,7.871200637,0.8,0.6,1
1.00,0.9,1,9.418018725,2,2,0.719608619,0.44999999999999996,0.6,3
0.67,0.5,0,1.274465304,1,9,8.883123095,0.5499999999999999,0.5,1
0.50,0.7,1,10.83317353,2,2,0.255693879,0.65,0.5,0
1.00,0.9,0,9.416988533,2,3,1.728615563,0.725,0.7,3
1.00,0.5,1,5.70546342,2,10,5.501861064,0.5499999999999999,0.2,1
1.00,0.0,0,10.605196667,3,0,0.536776353,0.6,0.5,2
0.50,0.7,1,10.823491595,2,3,1.265007284,0.6249999999999999,0.9,0
1.00,0.5,1,5.726265399,2,11,6.49503754,0.55,0.6,1
1.00,0.0,0,10.60995439,3,1,1.546805571,0.7250000000000001,0.6,2
1.00,0.0,1,12.423724746,3,12,0.792571445,0.32499999999999996,0.5,1
1.00,0.0,1,12.431989508,3,13,1.802321314,0.55,0.6,1
1.00,0.0,1,12.415309037,3,14,2.812976796,0.55,0.6,1
0.60,0.5,1,0.571779243,1,0,0.466479835,0.6499999999999999,0.7,1
0.67,0.0,0,0.85938557,1,0,0.104184651,0.475,0.3,2
0.60,0.5,1,0.535841615,1,1,1.488608273,0.625,0.6,1
1.00,0.0,1,1.648155286,1,0,0.246307645,0.6,0.7,4
0.67,0.0,1,0.880419199,1,1,1.110375031,0.825,0.5,2
0.60,0.5,1,0.550569156,1,2,2.510172534,0.75,0.5,1
1.00,0.0,1,1.664587802,1,1,1.27741947,0.47500000000000003,0.5,4
0.67,0.0,0,0.860803081,1,2,2.139417624,0.45,0.7,2
0.60,0.5,1,0.572873973,1,3,3.522462238,0.5,0.6,1
1.00,0.9,0,3.329473257,1,2,0.638338142,0.8,0.5,4
0.60,0.5,1,0.566961751,1,4,4.533109659,0.475,0.5,1
1.00,0.9,1,3.334564413,1,3,1.677901133,0.5249999999999999,0.7,4
0.50,0.5,1,4.925348548,1,0,0.0626045,0.475,0.3,0
0.50,0.0,1,6.022692477,1,5,0.029892574,0.6,0.5,1
