votesInFavor,endTime,groupID,canteenTime,pastExperience,canteenExperience,canteen
1,12.323895084,3,2.850482093,0.325,0.5,2
1,0.749637799,1,0.209435709,0.525,0.2,2
0.6,0.405697932,1,0.61485741,0.625,0.6,1
1,0.749651327,1,1.226986465,0.6,0.6,2
0.6,1.172418568,1,0.821254745,0.475,0.7,2
1,1.39336532,1,0.45258758,0.775,0.5,4
0.6,1.174339655,1,1.836865897,0.625,0.4,2
1,1.395015941,1,1.471391016,0.575,1,4
0.6,1.21541462,1,1.848125436,0.65,0.3,2
1,2.431731253,1,0.472850954,0.525,0.6,5
1,2.425025321,1,1.484673537,0.8,0.6,5
1,4.009518019,1,0.868255689,0.475,0.7,1
1,4.009313703,1,1.87915623,0.625,0.4,1
0.6,1.169273762,1,4.924268124,0.75,1,2
1,5.552766409,2,1.498638769,0.725,0.7,1
1,5.55374622,2,2.509343198,0.55,0.7,1
1,7.947478335,2,0.132258348,0.4,0.6,6
1,7.94893648,2,1.144329797,0.675,0.6,6
0.5,10.293240175,2,0.677289915,0.625,0.3,1
1,10.924452104,3,0.085494288,0.725,0.3,3
0.5,10.302219434,2,1.688160351,0.65,0.8,1
1,10.914264073,3,1.096037429,0.6,0.3,3
1,12.437075749,3,0.693785931,0.475,0.5,6
1,12.415540824,3,1.705213035,0.775,0.4,6
1,12.401552096,3,2.713911516,0.6,0.7,6
