votesInFavor,distance,ateFavoriteDish,endTime,groupID,canteenTime,pastExperience,canteenExperience,canteen
0.5,0.5,0,4.49,1,1.49,0.475,0.5,0
0.5,0,1,4.27,1,1.85,0.525,0.6,1
1,0,1,5.43,2,1.69,0.55,0.6,0
0.5,0,1,4.30,1,2.83,0.6,0.8,1
1,0,0,5.43,2,2.70,0.725,0.8,0
1,0.6,1,8.57,2,0.53,0.675,0.7,5
1,0.6,0,8.56,2,1.54,0.4,0.9,5
0.5,0.7,1,9.42,2,0.66,0.65,0.7,0
1,0,0,10.76,3,0.29,0.725,0.9,2
0.5,0.7,1,9.40,2,1.67,0.625,0.9,0
1,0,0,10.76,3,1.30,0.6,0.4,2
0.6,0.5,1,0.60,1,0.36,0.625,0.4,1
0.6,0.5,1,0.61,1,1.41,0.475,0.7,1
1,0.9,1,1.18,1,0.76,0.575,0.6,3
0.6,0.5,1,0.63,1,2.42,0.65,0.6,1
1,0.9,0,1.17,1,1.79,0.775,0.5,3
0.67,0,1,2.11,1,0.91,0.45,0.7,2
1,0.5,1,2.85,1,0.12,0.475,0.7,0
0.6,0.5,0,0.61,1,3.44,0.75,0.5,1
1,0,1,2.84,1,1.20,0.65,0.7,3
1,0.5,1,2.85,1,1.17,0.625,0.7,0
0.67,0,1,2.11,1,2.00,0.475,0.6,2
0.6,0.5,0,0.68,1,4.47,0.5,0.9,1
1,0,1,2.81,1,2.16,0.475,0.4,3
0.67,0,0,2.12,1,2.97,0.825,0.8,2
0.5,0,1,5.84,1,0.23,0.525,0.8,1
1,0,0,5.53,2,0.54,0.475,1,2
0.5,0,1,5.84,1,1.24,0.6,0.6,1
1,0,1,5.53,2,1.56,0.475,0.7,2
1,0.5,1,6.17,2,1.94,0.55,0.9,1
1,0.5,1,6.16,2,2.95,0.55,0.5,1
1,0.6,0,8.60,2,0.53,0.675,0.4,5
1,0.6,0,8.59,2,1.54,0.4,0.5,5
0.67,0,0,10.72,3,0.39,0.325,0.5,1
1,0,1,10.49,3,0.64,0.725,0.4,2
0.67,0,1,10.72,3,1.41,0.55,0.2,1
1,0,0,10.49,3,1.66,0.6,0.4,2
0.67,0,1,10.73,3,2.42,0.55,0.6,1
1,0,0,0.53,1,0.54,0.625,0.5,0
0.67,0,1,0.83,1,0.20,0.825,0.6,2
1,0,1,0.52,1,1.54,0.625,0.5,0
0.67,0,1,0.81,1,1.22,0.45,0.5,2
1,0,0,2.68,1,0.28,0.475,0.5,4
1,0,0,0.51,1,2.55,0.55,0.7,0
0.67,0,0,0.81,1,2.23,0.475,0.5,2
1,0,1,2.67,1,1.29,0.6,0.6,4
1,0,1,0.53,1,3.58,0.675,0.5,0
1,0,1,3.33,1,0.69,0.475,0.4,3
1,0,1,0.52,1,4.58,0.6,0.7,0
1,0,0,3.34,1,1.70,0.65,0.4,3
0.5,0,0,5.10,1,0.03,0.6,0.6,1
1,0,1,5.82,2,0.30,0.55,0.8,0
0.5,0,1,5.10,1,1.04,0.525,0.7,1
1,0,0,5.82,2,1.32,0.725,0.7,0
1,0.6,0,7.97,2,0.17,0.4,0.5,5
0.5,0.5,1,6.05,1,1.97,0.625,0.9,0
1,0.6,1,7.97,2,1.18,0.675,0.7,5
0.5,0.5,0,6.05,1,2.98,0.475,0.7,0
0.5,0.7,1,10.28,2,0.85,0.625,0.6,0
0.67,0,1,10.82,3,0.38,0.55,0.5,1
1,0,1,10.71,3,0.44,0.6,0.7,2
0.5,0.7,1,10.28,2,1.86,0.65,0.9,0
0.67,0,1,10.81,3,1.39,0.55,0.5,1
1,0,1,10.72,3,1.45,0.725,0.4,2
0.67,0,1,10.81,3,2.40,0.325,0.6,1
0.8,0,0,0.62,1,0.38,0.625,0.6,0
1,0,0,0.95,1,0.11,0.6,0.5,1
0.8,0,0,0.56,1,1.40,0.55,0.4,0
1,0,1,1.50,1,0.25,0.6,0.4,4
1,0,1,0.92,1,1.15,0.525,0.8,1
0.8,0,1,0.59,1,2.42,0.6,0.6,0
1,0,1,1.51,1,1.29,0.475,0.6,4
1,0,0,2.63,1,0.21,0.475,0.7,3
0.67,0.5,0,1.82,1,1.17,0.55,0.4,1
0.8,0,1,0.60,1,3.48,0.625,0.2,0
1,0,1,2.61,1,1.23,0.65,0.5,3
0.67,0.5,0,1.80,1,2.20,0.425,0.6,1
0.8,0,1,0.62,1,4.49,0.675,0.5,0
0.67,0.5,0,1.80,1,3.22,0.8,0.5,1
0.5,0.5,1,4.90,1,0.95,0.625,0.5,0
0.5,0.5,1,4.90,1,1.96,0.475,0.5,0
1,0.7,0,5.67,2,2.29,0.625,0.7,0
1,0,1,7.40,2,0.75,0.5,0.4,1
1,0.7,1,5.68,2,3.30,0.65,0.7,0
1,0,0,7.37,2,1.76,0.525,0.5,1
1,0,1,6.06,2,4.06,0.55,0.5,0
1,0,1,6.09,2,5.07,0.725,0.5,0
0.67,0,1,10.70,3,0.42,0.325,1,1
1,0,0,11.26,3,0.74,0.725,0.5,2
0.67,0,0,10.73,3,1.43,0.55,0.4,1
1,0,0,11.26,3,1.75,0.6,0.5,2
0.67,0,1,10.68,3,2.44,0.55,0.7,1
0.6,0.5,1,0.86,1,0.11,0.625,0.3,1
0.6,0.5,1,0.91,1,1.12,0.475,0.3,1
1,0.9,0,1.15,1,0.73,0.575,0.2,3
0.67,0,1,1.05,1,0.89,0.45,0.7,2
0.6,0.5,1,0.91,1,2.15,0.65,0.7,1
0.67,0,1,1.07,1,1.91,0.825,0.7,2
1,0.9,1,1.16,1,1.75,0.775,0.8,3
0.6,0.5,0,0.88,1,3.19,0.75,0.1,1
1,0.5,0,3.00,1,0.91,0.625,0.5,0
1,0.9,0,3.01,1,0.91,0.8,0.5,4
0.67,0,1,1.07,1,2.94,0.475,0.2,2
1,0.5,0,2.99,1,1.92,0.475,0.7,0
1,0.9,1,3.05,1,1.91,0.525,0.5,4
0.6,0.5,0,0.93,1,4.23,0.5,0.8,1
1,0,1,5.61,2,0.47,0.55,0.7,0
0.5,0,0,5.97,1,0.13,0.525,0.5,1
1,0,0,5.60,2,1.48,0.725,0.7,0
0.5,0,1,5.98,1,1.14,0.6,0.8,1
0.5,0.7,1,9.36,2,0.66,0.625,0.7,0
1,0.9,1,9.86,2,0.24,0.45,0.7,3
0.5,0.7,1,9.37,2,1.67,0.65,0.6,0
1,0.9,1,9.85,2,1.25,0.725,0.4,3
1,0,1,10.86,3,0.19,0.725,0.6,2
0.67,0,0,10.67,3,0.45,0.325,0.8,1
1,0,1,10.86,3,1.20,0.6,1,2
