votesInFavor,distance,ateFavoriteDish,endTime,groupID,canteenTime,pastExperience,canteenExperience,canteen
1,0,0,0.77,1,0.28,0.525,0.1,1
1,0,1,0.57,1,1.50,0.55,0.7,0
1,0,0,0.78,1,1.30,0.6,0.4,1
1,0,0,0.59,1,2.53,0.6,0.9,0
0.67,0.5,0,1.37,1,1.69,0.425,0.6,1
1,0,1,2.31,1,0.68,0.475,0.9,4
0.67,0.5,1,1.37,1,2.70,0.55,0.5,1
1,0,1,0.60,1,3.57,0.675,0.4,0
1,0,0,2.30,1,1.71,0.6,0.4,4
1,0,1,0.59,1,4.57,0.625,0.6,0
0.67,0.5,1,1.36,1,3.73,0.8,0.6,1
1,0.9,0,2.58,1,2.46,0.8,1,4
1,0.5,1,3.15,1,2.86,0.625,0.5,0
1,0.9,0,2.58,1,3.47,0.525,0.5,4
1,0.6,1,7.03,2,0.12,0.4,0.5,5
1,0.5,1,3.16,1,3.88,0.475,0.4,0
1,0.6,1,7.03,2,1.13,0.675,1,5
1,0,1,5.48,2,2.71,0.725,0.3,0
1,0,1,5.48,2,3.73,0.55,0.4,0
1,0.7,1,5.96,2,4.18,0.625,0.7,0
1,0.6,1,10.69,3,0.51,0.475,0.4,5
1,0,1,10.69,3,0.46,0.725,0.6,2
1,0.7,1,5.98,2,5.20,0.65,0.6,0
1,0,1,10.67,3,1.46,0.6,0.5,2
1,0.6,1,10.67,3,1.54,0.6,0.7,5
1,0.6,1,10.67,3,2.55,0.775,0.6,5
1,0,0,0.48,1,0.58,0.625,0.6,0
1,0,1,0.46,1,1.61,0.55,0.7,0
0.67,0,1,1.29,1,0.72,0.475,0.7,2
1,0,0,2.43,1,0.55,0.6,0.6,4
1,0,1,0.47,1,2.63,0.625,0.6,0
0.67,0,1,1.29,1,1.73,0.45,0.4,2
1,0,0,2.43,1,1.57,0.475,0.5,4
0.67,0,1,1.29,1,2.76,0.825,0.2,2
1,0,1,0.48,1,3.67,0.675,0.5,0
1,0.9,1,2.66,1,2.37,0.525,0.6,4
1,0,1,0.46,1,4.67,0.6,0.5,0
0.5,0,1,4.92,1,0.22,0.6,0.5,1
1,0.9,1,2.66,1,3.38,0.8,0.6,4
1,0.5,0,4.10,1,1.95,0.475,0.4,0
0.5,0,1,4.91,1,1.23,0.525,0.5,1
1,0.5,0,4.09,1,2.96,0.625,0.6,0
1,0,0,5.52,2,2.64,0.725,0.2,0
1,0,1,5.52,2,3.66,0.55,0.5,0
1,0.6,0,9.41,2,0.71,0.675,0.8,5
1,0.7,1,6.36,2,3.76,0.625,0.5,0
1,0.6,1,9.39,2,1.73,0.4,0.5,5
1,0,0,10.85,3,0.25,0.725,0.4,2
1,0.7,0,6.36,2,4.77,0.65,0.4,0
0.67,0.6,0,10.80,3,1.31,0.775,0.2,5
1,0,1,10.85,3,1.27,0.6,0.6,2
0.67,0.6,0,10.81,3,2.32,0.6,0.4,5
0.8,0,1,0.39,1,0.64,0.55,0.6,0
0.8,0,1,0.43,1,1.69,0.675,0.5,0
1,0,1,1.44,1,0.52,0.6,0.4,4
0.67,0,0,2.14,1,0.82,0.825,0.6,2
1,0,0,1.44,1,1.54,0.475,0.6,4
0.8,0,1,0.42,1,2.72,0.625,0.6,0
0.67,0,0,2.13,1,1.83,0.475,0.6,2
0.8,0,0,0.41,1,3.80,0.6,0.2,0
1,0.9,0,3.15,1,0.93,0.525,0.7,4
0.67,0,1,2.12,1,2.90,0.45,0.5,2
0.8,0,1,0.43,1,4.80,0.625,0.5,0
1,0.9,1,3.14,1,1.97,0.8,0.7,4
1,0.5,0,3.92,1,2.14,0.625,0.6,0
0.5,0,1,6.85,1,0.34,0.525,0.6,1
1,0.5,1,3.94,1,3.15,0.475,0.3,0
0.5,0,0,6.85,1,1.35,0.6,0.4,1
1,0.7,1,7.02,2,1.13,0.625,0.2,0
1,0.9,1,8.88,2,0.23,0.725,0.7,3
1,0.7,1,7.04,2,2.14,0.65,0.6,0
1,0.9,0,8.88,2,1.28,0.45,0.2,3
0.5,0,0,10.03,2,0.24,0.725,0.6,0
1,0,1,10.62,3,0.46,0.725,0.9,2
0.67,0,1,10.54,3,0.68,0.55,0.5,1
0.5,0,1,10.03,2,1.26,0.55,0.6,0
1,0,0,10.60,3,1.47,0.6,0.5,2
0.67,0,1,10.55,3,1.69,0.55,0.5,1
0.67,0,1,10.54,3,2.70,0.325,0.6,1
1,0,1,0.97,1,0.06,0.625,0.5,0
0.67,0.5,1,1.51,1,0.37,0.8,0.7,1
1,0,1,0.99,1,1.07,0.675,0.5,0
0.67,0.5,1,1.52,1,1.39,0.55,0.5,1
1,0,1,0.97,1,2.09,0.55,0.6,0
1,0,1,2.23,1,0.67,0.475,0.5,3
0.67,0.5,1,1.52,1,2.48,0.425,0.5,1
1,0,1,2.25,1,1.72,0.65,0.4,3
1,0,0,3.37,1,0.67,0.6,0.6,4
1,0,1,3.41,1,1.54,0.475,0.2,4
0.5,0,1,4.27,1,0.87,0.6,0.5,1
1,0,1,0.96,1,4.31,0.625,0.7,0
0.5,0,1,4.27,1,1.88,0.525,0.4,1
1,0,0,0.97,1,7.40,0.6,0.9,0
1,0.6,1,8.90,2,0.31,0.675,0.6,5
1,0.5,1,3.60,1,5.56,0.625,0.6,0
1,0.6,0,8.92,2,1.33,0.4,0.4,5
1,0.5,1,3.65,1,6.52,0.475,0.3,0
0.67,0.6,1,11.11,3,0.15,0.475,0.6,5
1,0,1,5.70,2,5.67,0.55,0.5,0
1,0,1,11.26,3,0.86,0.6,0.5,2
0.67,0.6,1,11.10,3,1.16,0.6,0.5,5
1,0,0,5.70,2,6.68,0.725,0.5,0
1,0,1,11.27,3,1.88,0.725,0.9,2
0.67,0.6,1,11.10,3,2.17,0.775,0.6,5
1,0.7,1,6.04,2,7.24,0.625,0.5,0
1,0.7,1,6.05,2,8.25,0.65,0.6,0
1,0.5,1,0.62,1,0.31,0.625,0.5,0
1,0.9,0,1.57,1,0.32,0.575,0.5,3
1,0.5,1,0.62,1,1.34,0.475,1,0
1,0.9,1,1.59,1,1.33,0.775,0.6,3
0.67,0.5,1,2.11,1,0.93,0.425,0.5,1
1,0,0,0.82,1,2.34,0.6,0.5,0
1,0.9,0,3.34,1,0.68,0.525,0.6,4
0.67,0.5,1,2.11,1,1.97,0.8,0.4,1
1,0,1,0.82,1,3.36,0.625,0.4,0
1,0.9,1,3.32,1,1.71,0.8,1,4
0.67,0.5,1,2.12,1,2.98,0.55,0.6,1
1,0,1,0.82,1,4.38,0.675,0.7,0
0.5,0,0,4.36,1,1.79,0.525,0.5,1
1,0,1,0.82,1,5.38,0.625,1,0
0.5,0,1,4.37,1,2.81,0.6,0.6,1
1,0,0,0.81,1,6.39,0.55,0.5,0
1,0,0,5.75,2,2.45,0.55,0.7,0
1,0.9,1,8.81,2,0.30,0.45,0.5,3
1,0,1,5.75,2,3.46,0.725,0.8,0
1,0.9,1,8.80,2,1.31,0.725,0.5,3
1,0,1,10.94,3,0.20,0.725,0.5,2
0.5,0.7,1,10.42,2,0.75,0.65,0.2,0
0.67,0,0,10.76,3,0.46,0.55,0.5,1
1,0,0,10.93,3,1.21,0.6,0.7,2
0.5,0.7,1,10.42,2,1.76,0.625,0.8,0
0.67,0,1,10.78,3,1.47,0.55,0.8,1
1,0,0,0.45,1,0.58,0.625,0.7,0
1,0,1,0.46,1,0.57,0.525,0.2,1
1,0,1,0.47,1,1.62,0.625,0.4,0
1,0.9,1,1.21,1,0.74,0.775,0.5,3
1,0,1,0.46,1,1.62,0.6,0.9,1
1,0,1,0.45,1,2.63,0.55,0.7,0
1,0.9,1,1.21,1,1.74,0.575,0.8,3
1,0.9,1,2.52,1,0.49,0.525,0.5,4
0.67,0.5,1,1.86,1,1.17,0.8,0.6,1
1,0,1,0.47,1,3.65,0.675,0.4,0
1,0.9,0,2.51,1,1.51,0.8,1,4
0.67,0.5,1,1.88,1,2.20,0.425,0.5,1
1,0,0,0.46,1,4.67,0.6,0.3,0
0.67,0.5,0,1.89,1,3.21,0.55,0.5,1
0.5,0.5,1,4.58,1,1.41,0.625,0.7,0
0.5,0.5,1,4.58,1,2.43,0.475,0.9,0
1,0,1,5.93,2,2.20,0.55,0.4,0
1,0,1,5.93,2,3.22,0.725,0.4,0
1,0.6,1,9.30,2,0.84,0.675,0.5,5
1,0.6,1,9.29,2,1.85,0.4,0.6,5
0.67,0,1,10.64,3,0.54,0.55,0.8,1
1,0,1,11.09,3,0.99,0.6,0.7,2
0.67,0,1,10.65,3,1.55,0.325,1,1
1,0,1,11.09,3,2.00,0.725,0.5,2
0.67,0,1,10.66,3,2.56,0.55,0.5,1
0.67,0,1,0.80,1,0.05,0.475,0.7,2
0.6,0,1,0.27,1,0.70,0.6,1,0
0.67,0,1,0.80,1,1.11,0.825,0.7,2
0.6,0,1,1.08,1,1.00,0.675,0.5,0
0.67,0,1,0.80,1,2.12,0.45,0.6,2
1,0.9,1,2.40,1,0.50,0.775,0.5,3
0.6,0,1,1.08,1,2.02,0.625,0.3,0
1,0.9,1,3.43,1,0.46,0.525,0.2,4
1,0.9,1,2.40,1,1.52,0.575,0.6,3
0.5,0,0,4.19,1,0.78,0.6,0.5,1
1,0.9,1,3.42,1,1.48,0.8,0.6,4
0.5,0,1,4.19,1,1.79,0.525,0.2,1
0.6,0,1,1.04,1,5.05,0.55,0.7,0
1,0,0,6.27,2,0.68,0.475,0.7,2
0.6,0,0,1.06,1,6.06,0.625,0.8,0
1,0,1,6.27,2,1.69,0.475,0.4,2
1,0.5,1,4.29,1,3.70,0.475,1,0
1,0.6,1,8.63,2,0.40,0.4,0.8,5
1,0.5,1,4.28,1,4.71,0.625,1,0
1,0.6,1,8.63,2,1.41,0.675,0.7,5
1,0,1,5.51,2,4.62,0.55,0.8,0
1,0,1,5.50,2,5.63,0.725,0.5,0
0.67,0.6,1,11.29,3,0.77,0.475,0.9,5
1,0,1,11.11,3,0.90,0.6,0.5,2
0.67,0.6,1,11.28,3,1.78,0.775,0.6,5
1,0,1,11.11,3,1.91,0.725,0.1,2
0.67,0.6,1,11.27,3,2.79,0.6,0.7,5
1,0,1,0.69,1,0.34,0.625,0.8,0
1,0,1,1.11,1,0.93,0.525,0.6,1
1,0,1,0.68,1,1.40,0.625,0.8,0
1,0,1,1.11,1,1.94,0.6,0.7,1
1,0,1,2.74,1,0.24,0.6,0.4,4
1,0,0,0.67,1,2.42,0.55,0.1,0
0.67,0.5,1,1.88,1,2.14,0.8,0.5,1
1,0,1,0.69,1,3.46,0.675,0.5,0
1,0,1,2.74,1,1.28,0.475,0.8,4
0.67,0.5,1,1.90,1,3.15,0.425,0.5,1
1,0,1,0.69,1,4.47,0.6,0.4,0
1,0.9,1,3.53,1,1.52,0.525,0.6,4
0.67,0.5,1,1.91,1,4.16,0.55,0.6,1
1,0.5,1,4.18,1,1.84,0.625,0.5,0
1,0.9,1,3.53,1,2.53,0.8,0.6,4
1,0,1,6.45,2,0.67,0.525,0.5,1
1,0.5,1,4.18,1,2.86,0.475,0.8,0
1,0.7,0,5.72,2,2.39,0.65,0.5,0
1,0,1,6.46,2,1.72,0.5,0.7,1
1,0.7,1,5.71,2,3.40,0.625,0.6,0
1,0,1,5.83,2,4.36,0.725,0.5,0
1,0,1,5.84,2,5.37,0.55,0.6,0
1,0,1,12.40,3,0.84,0.325,0.4,1
1,0,1,12.38,3,1.85,0.55,0.9,1
1,0,1,12.38,3,2.86,0.55,0.4,1
1,0,1,0.41,1,0.64,0.625,0.6,0
1,0,1,0.40,1,1.65,0.6,0.9,0
1,0.9,1,1.27,1,0.57,0.575,0.5,3
1,0.9,1,1.29,1,1.58,0.775,0.6,3
0.67,0.5,0,2.10,1,0.83,0.425,0.6,1
1,0.9,1,2.77,1,0.12,0.525,0.7,4
1,0,1,0.39,1,2.67,0.625,0.6,0
0.67,0.5,1,2.12,1,1.84,0.55,0.6,1
1,0,1,0.38,1,3.68,0.55,0.4,0
1,0.9,1,2.74,1,1.18,0.8,0.5,4
0.67,0.5,0,2.08,1,2.85,0.8,0.5,1
1,0,0,0.40,1,4.69,0.675,0.5,0
0.5,0,1,4.25,1,1.79,0.6,0.6,1
1,0.5,1,3.25,1,2.64,0.475,0.5,0
1,0.5,1,3.17,1,3.65,0.625,0.3,0
0.5,0,1,4.25,1,2.80,0.525,1,1
1,0,0,5.58,2,2.51,0.55,1,0
1,0,1,5.56,2,3.52,0.725,0.5,0
0.5,0.7,1,8.87,2,1.11,0.65,0.4,0
1,0.6,1,9.49,2,0.60,0.675,0.5,5
0.5,0.7,1,8.87,2,2.12,0.625,0.1,0
0.67,0,1,10.64,3,0.43,0.55,0.6,1
1,0.6,1,9.49,2,1.61,0.4,0.5,5
0.67,0,1,10.62,3,1.44,0.55,0.8,1
0.67,0,1,10.63,3,2.45,0.325,0.5,1
1,0,0,0.50,1,0.52,0.6,0.5,0
0.67,0.5,1,1.46,1,0.45,0.55,0.4,1
1,0,0,0.47,1,1.54,0.55,0.7,0
1,0.9,1,1.97,1,0.91,0.775,0.8,3
1,0,0,0.47,1,2.55,0.625,0.6,0
0.67,0.5,1,1.47,1,1.45,0.8,0.7,1
0.67,0.5,0,1.49,1,2.45,0.425,0.5,1
1,0.9,1,3.58,1,0.34,0.525,0.5,4
1,0.9,0,1.97,1,1.97,0.575,0.7,3
1,0,1,0.52,1,3.64,0.625,0.5,0
1,0.9,1,3.58,1,1.36,0.8,0.6,4
1,0,1,0.52,1,4.60,0.675,0.6,0
0.5,0,0,4.48,1,0.55,0.525,0.5,1
0.5,0.5,1,4.88,1,1.05,0.625,0.4,0
0.5,0,1,4.48,1,1.57,0.6,0.8,1
0.5,0.5,1,4.88,1,2.06,0.475,1,0
1,0,0,5.64,2,2.42,0.55,0.5,0
1,0.6,1,8.49,2,0.56,0.4,0.7,5
1,0,1,5.65,2,3.43,0.725,0.5,0
1,0.6,1,8.50,2,1.57,0.675,0.7,5
1,0.7,0,5.84,2,4.20,0.65,0.4,0
1,0.7,0,5.84,2,5.21,0.625,0.9,0
0.67,0,1,10.87,3,0.20,0.325,0.8,1
1,0,1,11.01,3,0.99,0.725,0.8,2
0.67,0,0,10.88,3,1.22,0.55,0.5,1
1,0,0,11.00,3,2.00,0.6,0.4,2
0.67,0,0,10.87,3,2.23,0.55,0.5,1
1,0,0,0.68,1,0.29,0.6,0.4,1
0.6,0,0,0.24,1,0.79,0.625,0.8,0
0.6,0.5,0,1.11,1,0.94,0.65,0.8,1
1,0.9,1,1.31,1,0.58,0.575,0.4,3
1,0,0,0.66,1,1.34,0.525,0.6,1
0.6,0.5,1,1.10,1,1.95,0.475,0.4,1
1,0.9,0,1.32,1,1.59,0.775,0.6,3
0.67,0.5,1,0.66,1,2.31,0.8,0.6,1
1,0,0,2.81,1,1.11,0.65,0.5,3
0.67,0.5,0,0.67,1,3.33,0.425,0.6,1
0.5,0.5,1,4.58,1,0.34,0.625,0.5,0
1,0,1,2.80,1,2.13,0.475,0.2,3
0.67,0.5,1,0.66,1,4.34,0.55,1,1
0.5,0.5,0,4.58,1,1.35,0.475,0.7,0
0.6,0.5,0,1.09,1,5.00,0.75,0.6,1
1,0,1,5.35,2,1.72,0.55,0.5,0
1,0,0,5.35,2,2.73,0.725,0.5,0
0.6,0.5,1,1.09,1,7.02,0.625,1,1
1,0.6,0,8.72,2,0.39,0.4,0.5,5
1,0.5,0,5.98,2,4.07,0.525,0.9,1
1,0.6,1,8.73,2,1.40,0.675,0.6,5
1,0,0,10.45,3,0.54,0.725,0.7,2
1,0.5,1,5.98,2,5.08,0.5,0.7,1
1,0,1,10.47,3,1.55,0.6,0.5,2
0.67,0,0,10.67,3,1.43,0.325,0.6,1
0.67,0,1,10.66,3,2.45,0.55,0.7,1
0.67,0,0,10.68,3,3.46,0.55,0.5,1
1,0,1,0.47,1,0.56,0.6,0.5,0
0.67,0,0,0.44,1,0.49,0.825,0.6,2
1,0,1,0.48,1,1.58,0.625,0.5,0
0.67,0,0,0.46,1,1.51,0.45,0.5,2
1,0,1,1.04,1,0.99,0.6,0.6,1
1,0,1,0.45,1,2.59,0.625,0.8,0
1,0,1,2.09,1,0.80,0.475,0.6,4
0.67,0,0,0.46,1,2.53,0.475,0.6,2
1,0,0,1.03,1,2.04,0.525,0.4,1
1,0,1,0.48,1,3.60,0.675,0.5,0
1,0,0,3.20,1,0.68,0.475,0.5,3
1,0,1,2.09,1,1.81,0.6,0.6,4
1,0,1,3.22,1,1.69,0.65,0.7,3
1,0,0,0.46,1,4.61,0.55,0.7,0
0.5,1.2,1,4.77,1,0.18,0.6,0.5,4
1,0,1,5.61,2,0.46,0.725,0.6,0
0.5,1.2,1,4.78,1,1.16,0.525,0.5,4
1,0,0,5.62,2,1.47,0.55,0.7,0
0.5,0.7,1,10.01,2,0.02,0.65,0.8,0
0.5,0.7,0,9.99,2,1.03,0.625,0.6,0
1,0.9,0,10.08,2,1.01,0.45,0.6,3
1,0,1,10.78,3,0.27,0.725,0.4,2
0.67,0,1,10.54,3,0.56,0.55,0.5,1
1,0.9,1,10.08,2,2.02,0.725,0.8,3
1,0,1,10.77,3,1.28,0.6,0.5,2
0.67,0,0,10.55,3,1.57,0.55,0.4,1
0.67,0,0,10.55,3,2.58,0.325,0.5,1
1,0,1,0.29,1,0.69,0.525,0.4,1
1,0,0,0.21,1,0.90,0.675,0.9,0
0.67,0,1,1.75,1,0.24,0.825,0.4,2
1,0,1,0.31,1,1.72,0.6,0.7,1
1,0,1,0.21,1,1.90,0.625,0.8,0
1,0.9,1,2.57,1,0.34,0.525,0.4,4
0.67,0,1,1.75,1,1.25,0.45,0.5,2
1,0,1,0.20,1,2.91,0.625,0.5,0
1,0.9,0,2.56,1,1.35,0.8,0.9,4
1,0,1,0.18,1,3.93,0.55,0.4,0
0.67,0,0,1.75,1,2.32,0.475,0.4,2
1,0,1,2.86,1,2.06,0.6,0.7,4
1,0,1,0.21,1,4.94,0.6,0.6,0
1,0,1,2.86,1,3.08,0.475,0.4,4
0.5,0.5,1,4.51,1,1.45,0.475,0.7,0
0.5,0.5,0,4.51,1,2.47,0.625,0.5,0
1,0,0,5.35,2,2.80,0.725,0.6,0
1,0.6,0,8.86,2,0.23,0.4,0.5,5
1,0,1,5.35,2,3.81,0.55,0.8,0
1,0.6,1,8.86,2,1.24,0.675,0.5,5
1,0.7,1,5.47,2,4.60,0.625,0.2,0
0.67,0,1,10.44,3,0.66,0.55,0.6,1
1,0,1,10.55,3,0.52,0.725,0.5,2
1,0.7,1,5.50,2,5.62,0.65,0.3,0
0.67,0,0,10.44,3,1.67,0.325,0.5,1
1,0,0,10.53,3,1.54,0.6,0.6,2
0.67,0,0,10.44,3,2.68,0.55,0.6,1
