distance,groupID,canteenTime,pastExperience,canteenExperience,canteen
0,1,1.785619468,0.525,0.2,1
0,1,5.052343747,0.55,0.7,0
0,2,0.676932371,0.475,0.7,2
0,1,6.058801714,0.625,0.8,0
0,2,1.687976184,0.475,0.4,2
0.5,1,3.703082735,0.475,1,0
0.6,2,0.398835917,0.4,0.8,5
0.5,1,4.713332658,0.625,1,0
0.6,2,1.410858087,0.675,0.7,5
0,2,4.618346055,0.55,0.8,0
0,2,5.630371832,0.725,0.5,0
0.6,3,0.768950436,0.475,0.9,5
0,3,0.898828678,0.6,0.5,2
0.6,3,1.779795559,0.775,0.6,5
0,3,1.909762356,0.725,0.1,2
0.6,3,2.793651915,0.6,0.7,5
0,1,0.340296934,0.625,0.8,0
0,1,0.928541711,0.525,0.6,1
0,1,1.404930924,0.625,0.8,0
0,1,1.943203674,0.6,0.7,1
0,1,0.236651972,0.6,0.4,4
0,1,2.421740134,0.55,0.1,0
0.5,1,2.13634525,0.8,0.5,1
0,1,3.460647298,0.675,0.5,0
0,1,1.276203455,0.475,0.8,4
0.5,1,3.150473452,0.425,0.5,1
0,1,4.466648289,0.6,0.4,0
0.9,1,1.516464851,0.525,0.6,4
0.5,1,4.161497917,0.55,0.6,1
0.5,1,1.842905486,0.625,0.5,0
0.9,1,2.531372241,0.8,0.6,4
0,2,0.671348002,0.525,0.5,1
0.5,1,2.858918799,0.475,0.8,0
0.7,2,2.387413501,0.65,0.5,0
0,2,1.724278734,0.5,0.7,1
0.7,2,3.402050783,0.625,0.6,0
0,2,4.355964763,0.725,0.5,0
0,2,5.366904954,0.55,0.6,0
0,3,0.840339702,0.325,0.4,1
0,3,1.851737051,0.55,0.9,1
0,3,2.863099685,0.55,0.4,1
0,1,0.638722646,0.625,0.6,0
0,1,1.651979955,0.6,0.9,0
0.9,1,0.567997322,0.575,0.5,3
0.9,1,1.580996496,0.775,0.6,3
0.5,1,0.831875874,0.425,0.6,1
0.9,1,0.11991694,0.525,0.7,4
0,1,2.674495401,0.625,0.6,0
0.5,1,1.836302539,0.55,0.6,1
0,1,3.679252795,0.55,0.4,0
0.9,1,1.183199683,0.8,0.5,4
0.5,1,2.851040452,0.8,0.5,1
0,1,4.69390661,0.675,0.5,0
0,1,1.786711562,0.6,0.6,1
0.5,1,2.643191437,0.475,0.5,0
0.5,1,3.653631208,0.625,0.3,0
0,1,2.795454821,0.525,1,1
0,2,2.509282691,0.55,1,0
0,2,3.519680961,0.725,0.5,0
0.7,2,1.105832323,0.65,0.4,0
0.6,2,0.602198389,0.675,0.5,5
0.7,2,2.118390902,0.625,0.1,0
0,3,0.425374171,0.55,0.6,1
0.6,2,1.612917695,0.4,0.5,5
0,3,1.435765938,0.55,0.8,1
0,3,2.448106034,0.325,0.5,1
0,1,0.52476332,0.6,0.5,0
0.5,1,0.453103545,0.55,0.4,1
0,1,1.535788306,0.55,0.7,0
0.9,1,0.906523831,0.775,0.8,3
0,1,2.553906819,0.625,0.6,0
0.5,1,1.44725453,0.8,0.7,1
0.5,1,2.452448394,0.425,0.5,1
0.9,1,0.342901833,0.525,0.5,4
0.9,1,1.967756532,0.575,0.7,3
0,1,3.635197685,0.625,0.5,0
0.9,1,1.363827603,0.8,0.6,4
0,1,4.598321981,0.675,0.6,0
0,1,0.553725328,0.525,0.5,1
0.5,1,1.049514408,0.625,0.4,0
0,1,1.567929065,0.6,0.8,1
0.5,1,2.061043875,0.475,1,0
0,2,2.418193759,0.55,0.5,0
0.6,2,0.55959461,0.4,0.7,5
0,2,3.430093164,0.725,0.5,0
0.6,2,1.573781723,0.675,0.7,5
0.7,2,4.196724844,0.65,0.4,0
0.7,2,5.208870764,0.625,0.9,0
0,3,0.204635422,0.325,0.8,1
0,3,0.98574592,0.725,0.8,2
0,3,1.215856141,0.55,0.5,1
0,3,1.999286455,0.6,0.4,2
0,3,2.225704934,0.55,0.5,1
0,1,0.293990603,0.6,0.4,1
0,1,0.792512903,0.625,0.8,0
0.5,1,0.9373022,0.65,0.8,1
0.9,1,0.575795169,0.575,0.4,3
0,1,1.344356238,0.525,0.6,1
0.5,1,1.948560818,0.475,0.4,1
0.9,1,1.592419698,0.775,0.6,3
0.5,1,2.312074761,0.8,0.6,1
0,1,1.111952479,0.65,0.5,3
0.5,1,3.325768124,0.425,0.6,1
0.5,1,0.339683177,0.625,0.5,0
0,1,2.133104545,0.475,0.2,3
0.5,1,4.338539245,0.55,1,1
0.5,1,1.349591437,0.475,0.7,0
0.5,1,4.999581913,0.75,0.6,1
0,2,1.717927669,0.55,0.5,0
0,2,2.729102623,0.725,0.5,0
0.5,1,7.021867593,0.625,1,1
0.6,2,0.392557212,0.4,0.5,5
0.5,2,4.065681299,0.525,0.9,1
0.6,2,1.403834139,0.675,0.6,5
0,3,0.536709451,0.725,0.7,2
0.5,2,5.075734175,0.5,0.7,1
0,3,1.548053151,0.6,0.5,2
0,3,1.42636568,0.325,0.6,1
0,3,2.446635806,0.55,0.7,1
0,3,3.458088209,0.55,0.5,1
0,1,0.560937559,0.6,0.5,0
0,1,0.493056055,0.825,0.6,2
0,1,1.576096174,0.625,0.5,0
0,1,1.512570397,0.45,0.5,2
0,1,0.992513013,0.6,0.6,1
0,1,2.587571608,0.625,0.8,0
0,1,0.799512409,0.475,0.6,4
0,1,2.525402178,0.475,0.6,2
0,1,2.035365117,0.525,0.4,1
0,1,3.59788759,0.675,0.5,0
0,1,0.67826408,0.475,0.5,3
0,1,1.810914944,0.6,0.6,4
0,1,1.69007086,0.65,0.7,3
0,1,4.613869737,0.55,0.7,0
1.2,1,0.175142263,0.6,0.5,4
0,2,0.456705632,0.725,0.6,0
1.2,1,1.1610044,0.525,0.5,4
0,2,1.468025403,0.55,0.7,0
0.7,2,0.022829571,0.65,0.8,0
0.7,2,1.032924188,0.625,0.6,0
0.9,2,1.011358395,0.45,0.6,3
0,3,0.269053575,0.725,0.4,2
0,3,0.559316178,0.55,0.5,1
0.9,2,2.023394221,0.725,0.8,3
0,3,1.279878253,0.6,0.5,2
0,3,1.57133291,0.55,0.4,1
0,3,2.58077367,0.325,0.5,1
0,1,0.690763395,0.525,0.4,1
0,1,0.896395736,0.675,0.9,0
0,1,0.236274101,0.825,0.4,2
0,1,1.724739179,0.6,0.7,1
0,1,1.901541746,0.625,0.8,0
0.9,1,0.339318805,0.525,0.4,4
0,1,1.246860473,0.45,0.5,2
0,1,2.912104251,0.625,0.5,0
0.9,1,1.349364197,0.8,0.9,4
0,1,3.925768195,0.55,0.4,0
0,1,2.322290856,0.475,0.4,2
0,1,2.057794293,0.6,0.7,4
0,1,4.93766204,0.6,0.6,0
0,1,3.076076206,0.475,0.4,4
0.5,1,1.450433699,0.475,0.7,0
0.5,1,2.466643127,0.625,0.5,0
0,2,2.801999679,0.725,0.6,0
0.6,2,0.231665956,0.4,0.5,5
0,2,3.813208843,0.55,0.8,0
0.6,2,1.241761627,0.675,0.5,5
0.7,2,4.604714401,0.625,0.2,0
0,3,0.664730975,0.55,0.6,1
0,3,0.524439943,0.725,0.5,2
0.7,2,5.617947803,0.65,0.3,0
0,3,1.674978189,0.325,0.5,1
0,3,1.538755284,0.6,0.6,2
0,3,2.683873655,0.55,0.6,1
0,1,0.593186603,0.55,0.8,0
0,1,1.60659007,0.675,0.7,0
67,1,0.639557365,0.425,0.4,1
0,1,2.616493993,0.625,0.4,0
0,1,0.839427261,0.475,0.1,4
67,1,1.649811974,0.55,0.4,1
0,1,3.626660931,0.625,0.4,0
0,1,1.851178126,0.6,0.5,4
0,1,0.800485464,0.475,0.6,3
67,1,2.659090218,0.8,0.6,1
0,1,4.636898883,0.6,0.7,0
0,1,1.811697443,0.65,0.6,3
50,1,0.289741358,0.525,0.4,1
0,1,1.904057891,0.625,0.7,0
50,1,1.300077501,0.6,0.8,1
0,1,2.91448229,0.475,0.6,0
0,2,2.350201176,0.55,0.5,0
0,2,3.359546342,0.725,0.5,0
0,2,0.926724405,0.45,0.2,3
50,2,0.909792464,0.65,0.5,0
0,2,1.93706084,0.725,0.6,3
0,3,0.798241959,0.6,0.6,2
67,3,0.380308345,0.325,0.5,1
50,2,1.920061685,0.625,0.4,0
0,3,1.808558229,0.725,0.9,2
67,3,1.390596854,0.55,0.6,1
67,3,2.40096339,0.55,0.6,1
0,1,0.33927296,0.675,0.6,0
67,1,0.503242081,0.475,0.5,2
0,1,1.34912662,0.625,0.5,0
0,1,0.417245101,0.575,0.5,3
67,1,1.514001091,0.45,0.4,2
0,1,2.359279822,0.55,0.6,0
0,1,1.42746435,0.775,0.4,3
67,1,2.524220924,0.825,0.5,2
0,1,3.369190175,0.6,0.7,0
0,1,1.75199072,0.475,0.6,3
0,1,4.376572675,0.625,0.4,0
0,1,2.764568617,0.65,0.7,3
50,1,0.348846071,0.525,0.6,1
0,1,2.283107278,0.475,0.4,0
50,1,1.362234342,0.6,0.7,1
0,1,3.293407768,0.625,0.4,0
0,2,2.333202313,0.55,0.6,0
0,2,3.343454585,0.725,0.5,0
0,2,0.791051166,0.4,0.2,5
0,2,4.208943573,0.65,0.4,0
0,2,1.804366377,0.675,0.4,5
0,2,5.22025725,0.625,0.5,0
0,3,0.547034434,0.6,0.2,2
0,3,1.560280968,0.725,0.8,2
0,3,0.886380161,0.325,0.7,1
0,3,1.899661472,0.55,0.8,1
0,3,2.911935442,0.55,0.6,1
0,1,0.640967995,0.525,0.1,1
80,1,0.764253292,0.55,1,0
0,1,1.651007226,0.6,0.6,1
80,1,0.86639697,0.625,0.5,0
0,1,0.972669963,0.775,0.6,3
67,1,1.164116993,0.425,0.6,1
80,1,1.880744656,0.625,0.5,0
0,1,1.982888625,0.575,0.5,3
67,1,2.177386615,0.8,0.4,1
80,1,2.891102425,0.6,0.4,0
0,1,0.908020922,0.475,0.4,3
67,1,3.188734192,0.55,0.8,1
80,1,3.902241344,0.675,0.4,0
0,1,1.919175914,0.65,0.3,3
0,1,6.390132196,0.625,0.3,0
0,2,0.946722208,0.45,0.5,3
0,1,7.401538512,0.475,0.6,0
0,2,1.957961363,0.725,0.6,3
0,3,0.250802484,0.725,0.5,2
0,2,6.725190218,0.625,0.2,0
0,3,1.264075028,0.6,0.4,2
0,2,7.738483803,0.65,0.7,0
67,3,0.859821045,0.775,0.6,5
0,2,8.60454996,0.55,0.7,0
67,3,1.875214648,0.475,0.5,5
0,2,9.614791711,0.725,0.5,0
67,3,2.886409092,0.6,0.4,5
0,1,0.48992424,0.675,0.6,0
0,1,0.495128695,0.6,0.4,0
0,1,1.499838393,0.625,0.6,0
0,1,0.139259576,0.475,0.4,3
0,1,2.512043101,0.625,0.5,0
0,1,0.745724567,0.475,0.7,4
0,1,1.150653034,0.65,0.9,3
0,1,3.525231189,0.55,0.5,0
0,1,1.755975377,0.6,0.8,4
0,1,4.651678495,0.525,0.6,1
0,1,5.662526637,0.6,0.9,1
50,1,1.529058037,0.625,0.9,0
67,1,6.276411244,0.8,0.2,1
50,1,2.541387239,0.475,0.7,0
67,1,7.289703952,0.55,0.5,1
0,2,0.052103875,0.675,0.2,5
0,2,2.932231618,0.55,0.4,0
67,1,8.300980222,0.425,0.6,1
0,2,1.062311434,0.4,0.6,5
0,2,3.942906756,0.725,0.9,0
50,2,0.110878652,0.625,0.6,0
67,3,0.808338759,0.325,0.6,1
50,2,1.122196128,0.65,0.6,0
0,3,0.812383032,0.6,0.3,2
67,3,1.819566519,0.55,0.5,1
0,3,1.823661641,0.725,0.8,2
67,3,2.832901601,0.55,0.5,1
80,1,0.110482087,0.625,0.7,0
80,1,0.762438206,0.55,0.2,0
67,1,0.433137553,0.425,0.6,1
80,1,1.77559181,0.625,0.8,0
67,1,1.443762719,0.8,0.5,1
80,1,2.790466983,0.6,0.7,0
0,1,0.378767963,0.8,0.7,4
67,1,2.453818899,0.55,0.5,1
80,1,3.922821867,0.675,0.6,0
0,1,1.514433311,0.525,0.4,4
50,1,0.591261928,0.6,0.8,4
50,1,1.619405262,0.475,0.2,4
50,1,0.757847157,0.6,0.8,1
50,1,1.770981766,0.525,0.5,1
0,2,0.055062194,0.45,0.5,3
50,1,5.608845849,0.475,0.6,0
0,2,1.067334994,0.725,0.6,3
0,3,0.911840756,0.725,0.9,2
67,3,0.192760345,0.55,0.6,1
50,1,6.620846285,0.625,1,0
0,3,1.924849118,0.6,0.1,2
67,3,1.20707004,0.55,0.6,1
0,2,6.255738957,0.55,0.6,0
67,3,2.217533015,0.325,0.5,1
0,2,7.265929859,0.725,0.7,0
50,2,3.356678617,0.625,0.6,0
50,2,4.369786924,0.65,1,0
67,1,0.64282078,0.475,0.4,2
0,1,0.749704548,0.625,0.4,0
0,1,0.680492513,0.775,0.5,3
0,1,0.01937709,0.525,0.5,4
67,1,1.656551844,0.45,0.5,2
0,1,1.761846426,0.675,0.6,0
0,1,1.691734593,0.575,0.5,3
0,1,1.027399298,0.8,0.5,4
67,1,2.666009522,0.825,0.5,2
0,1,2.77513475,0.55,0.4,0
0,1,3.786405177,0.625,0.4,0
50,1,0.323006737,0.6,0.6,1
0,1,4.798625959,0.6,0.7,0
50,1,1.334240049,0.525,0.3,1
0,1,1.957982697,0.475,0.6,0
0,1,2.97127862,0.625,0.6,0
0,2,2.802332112,0.625,0.6,0
0,2,0.049061392,0.4,0.7,5
0,2,3.816486336,0.65,0.9,0
0,2,1.060329188,0.675,0.6,5
0,2,4.759278244,0.55,0.6,0
0,3,0.790364992,0.6,0.5,2
67,3,0.798029502,0.775,0.9,5
0,2,5.77250403,0.725,0.5,0
0,3,1.803628478,0.725,0.2,2
67,3,1.811263471,0.475,0.3,5
67,3,2.822661897,0.6,0.6,5
0,1,0.689384712,0.625,0.5,0
67,1,0.139124854,0.475,0.5,2
0,1,0.889409493,0.525,0.8,1
67,1,1.149751482,0.825,0.6,2
0,1,1.705681035,0.625,0.9,0
0,1,0.167732554,0.6,0.6,4
0,1,1.902573326,0.6,0.6,1
67,1,2.160928099,0.45,0.2,2
0,1,2.715902037,0.675,0.5,0
0,1,1.180728641,0.475,0.4,4
0,1,3.728300208,0.55,0.5,0
0,1,1.211347811,0.525,0.4,4
0,1,4.738898487,0.6,0.6,0
0,1,2.221175169,0.8,0.4,4
0,2,0.34776041,0.525,0.6,1
0,1,2.349892574,0.625,0.7,0
0,2,1.359987036,0.5,0.7,1
0,1,3.362128844,0.475,0.6,0
0,2,2.572576855,0.725,0.4,0
0,2,3.583838807,0.55,0.5,0
0,2,4.019439045,0.625,0.6,0
67,3,0.875047781,0.55,0.8,1
0,3,0.632755249,0.6,0.7,2
0,2,5.032634438,0.65,0.6,0
67,3,1.88520186,0.55,0.6,1
0,3,1.642992323,0.725,0.5,2
67,3,2.898338806,0.325,0.5,1
60,1,0.826119649,0.625,0.6,1
0,1,0.636597294,0.525,0.7,4
60,1,1.836301491,0.5,0.7,1
0,1,1.648858404,0.8,0.5,4
60,1,2.846563406,0.65,0.4,1
0,1,2.213747664,0.475,0.5,4
50,1,0.543775695,0.625,0.6,0
60,1,3.856857467,0.475,0.4,1
0,1,3.225084135,0.6,0.8,4
50,1,1.55518055,0.475,0.1,0
60,1,4.867161171,0.75,0.7,1
0,2,0.912920574,0.55,1,0
67,1,4.892057748,0.55,0.5,1
0,2,1.925210908,0.725,0.1,0
67,1,5.902347718,0.8,0.4,1
0,2,2.327009512,0.65,0.6,0
67,1,6.915665558,0.425,0.2,1
0,2,3.338279061,0.625,0.4,0
50,1,4.745868349,0.6,0.6,1
0,2,0.929716039,0.675,0.1,5
50,1,5.759146445,0.525,0.5,1
0,2,1.943002902,0.4,0.1,5
67,3,0.635696034,0.55,0.4,1
0,3,0.772355281,0.725,0.6,2
67,3,1.647044195,0.325,0.5,1
0,3,1.783618402,0.6,0.1,2
67,3,2.660689342,0.55,0.4,1
0,1,0.644559592,0.6,0.5,0
67,1,0.6628744,0.45,0.5,2
0,1,0.080194022,0.475,0.6,3
0,1,1.655908046,0.625,0.4,0
67,1,1.67384762,0.475,0.6,2
0,1,1.101444938,0.65,0.6,3
0,1,0.805963746,0.475,0.8,4
67,1,2.695553258,0.825,0.6,2
0,1,2.683743069,0.675,0.6,0
0,1,1.818709678,0.6,0.5,4
0,1,3.69755333,0.55,0.7,0
50,1,0.294161448,0.6,0.5,1
0,1,4.709331081,0.625,0.6,0
50,1,1.306307418,0.525,0.9,1
0,2,0.249968731,0.525,0.4,1
0,2,1.26228595,0.5,0.2,1
0,3,0.781445324,0.6,0.7,2
0,1,6.958779628,0.475,0.6,0
0,3,1.794665558,0.725,0.9,2
0,1,7.971824227,0.625,0.4,0
67,3,0.550737957,0.475,0.5,5
0,2,7.308802248,0.55,0.7,0
67,3,1.564070995,0.6,0.5,5
0,2,8.322067485,0.725,0.6,0
67,3,2.577302334,0.775,0.6,5
0,2,8.96316465,0.65,0.1,0
0,2,9.973495533,0.625,0.5,0
0,1,0.162617523,0.525,0.5,1
0,1,0.71382949,0.625,0.3,0
0,1,1.173675492,0.6,0.4,1
0,1,1.725696372,0.625,0.6,0
0,1,0.505913423,0.575,0.6,3
0,1,2.738340022,0.55,0.2,0
67,1,0.919942161,0.45,0.7,2
0,1,1.52028741,0.775,0.5,3
0,1,3.750289023,0.6,0.2,0
67,1,1.932148915,0.475,0.4,2
0,1,1.477702582,0.475,0.6,3
0,1,4.76158049,0.675,0.5,0
67,1,2.942252437,0.825,0.2,2
0,1,2.488154451,0.65,0.5,3
50,1,0.937724219,0.625,0.7,0
50,1,1.951015174,0.475,0.6,0
0,2,0.297615986,0.4,0.6,5
0,2,0.450536197,0.55,0.6,3
50,2,0.542530764,0.725,0.6,0
0,2,1.307802504,0.675,0.9,5
0,2,1.466367279,0.575,0.2,3
50,2,1.554243637,0.55,0.6,0
0,3,0.740068898,0.725,0.5,2
0,3,0.469290822,0.6,0.2,5
0,3,1.750912657,0.6,0.1,2
0,3,1.482232261,0.475,0.6,5
0,3,2.491864697,0.775,0.2,5
67,1,0.263886827,0.475,0.8,2
60,1,0.602920737,0.75,0.4,1
67,1,1.276001526,0.45,1,2
60,1,1.611643145,0.475,0.5,1
0,1,0.67942614,0.775,0.2,3
67,1,2.288202144,0.825,0.3,2
60,1,2.623474082,0.625,0.4,1
0,1,0.249512548,0.8,0.5,4
0,1,1.690671433,0.575,0.1,3
0,1,0.487055054,0.625,0.6,0
60,1,3.634778992,0.5,0.7,1
0,1,1.260759595,0.525,0.5,4
0,1,1.497086393,0.475,0.8,0
60,1,4.647950714,0.65,0.6,1
50,1,0.535372118,0.6,0.4,1
0,2,0.765293657,0.55,0.9,0
0,2,0.893101036,0.475,0.6,2
50,1,1.546671767,0.525,0.1,1
0,2,1.775460887,0.725,0.6,0
0,2,1.906295845,0.475,0.9,2
0,2,0.872780019,0.4,0.6,5
0,2,1.886161568,0.675,0.5,5
0,3,0.491262103,0.725,0.7,2
67,3,0.598522273,0.475,0.4,5
0,3,1.504544584,0.6,0.7,2
67,3,1.611797739,0.6,0.2,5
67,3,2.625164383,0.775,0.5,5
0,1,0.83583245,0.55,0.6,0
0,1,0.296008096,0.6,0.6,1
0,1,1.846078584,0.625,0.4,0
0,1,1.305468696,0.525,0.5,1
0,1,0.015265311,0.775,0.6,3
0,1,2.86025794,0.625,0.2,0
67,1,2.063668,0.55,0.4,1
0,1,1.02452602,0.575,0.6,3
0,1,3.872063453,0.6,0.6,0
67,1,3.075922974,0.425,0.5,1
0,1,1.414076372,0.475,0.6,3
0,1,4.883989368,0.675,0.3,0
67,1,4.088210386,0.8,0.5,1
0,1,2.42531436,0.65,0.3,3
50,1,1.742588276,0.475,0.4,0
50,1,2.754873643,0.625,0.7,0
0,2,0.959106642,0.5,0.7,1
0,2,2.423928278,0.55,0.6,0
0,2,1.970352812,0.525,0.9,1
0,2,3.435102558,0.725,0.6,0
0,2,4.407497817,0.625,0.4,0
0,2,5.419819713,0.65,0.7,0
0,3,0.299609922,0.6,0.3,2
0,3,1.311934155,0.725,0.5,2
0,3,0.734717448,0.55,0.4,1
0,3,1.745004202,0.325,0.8,1
0,3,2.758301003,0.55,0.6,1
0,1,0.541138838,0.625,0.7,0
67,1,0.706690131,0.475,0.6,2
0,1,1.550130689,0.6,0.5,0
0,1,0.488203547,0.475,0.8,4
67,1,1.71815431,0.825,0.5,2
0,1,2.561304384,0.55,0.1,0
0,1,1.50045589,0.6,1,4
0,1,0.042514399,0.475,0.2,3
67,1,2.73026112,0.45,0.7,2
0,1,3.573474609,0.625,0.6,0
50,1,0.106525777,0.6,0.4,1
0,1,1.053916624,0.65,0.7,3
0,1,4.583609985,0.675,0.9,0
50,1,1.116810487,0.525,0.6,1
0,1,1.607920626,0.625,0.5,0
0,1,2.619267034,0.475,0.5,0
0,2,2.601572938,0.55,0.7,0
0,2,0.36122437,0.675,0.6,5
0,2,3.612823492,0.725,0.6,0
0,2,1.371540348,0.4,0.2,5
0,2,3.503839998,0.65,0.5,0
0,2,4.515123283,0.625,0.4,0
67,3,0.765241054,0.55,0.6,1
0,3,0.916017704,0.725,0.5,2
67,3,1.774608431,0.325,0.4,1
0,3,1.926302122,0.6,0.6,2
67,3,2.785905743,0.55,0.7,1
0,1,0.654077178,0.55,0.5,0
67,1,0.545378617,0.45,0.6,2
0,1,0.857965339,0.575,0.6,3
0,1,1.665573796,0.625,0.6,0
67,1,1.554813792,0.475,0.8,2
0,1,1.870260641,0.775,0.2,3
0,1,2.676441812,0.675,0.4,0
0,1,0.530810292,0.525,0.6,4
67,1,2.563852986,0.825,0.3,2
0,1,3.688626064,0.6,0.6,0
0,1,1.541135038,0.8,0.5,4
0,1,4.701912051,0.625,1,0
50,1,1.126178155,0.625,0.5,0
50,1,0.707889181,0.525,0.9,1
50,1,2.138482517,0.475,0.5,0
50,1,1.717199863,0.6,0.9,1
0,2,2.770935592,0.725,0.7,0
0,2,3.781186109,0.55,0.5,0
0,2,4.491544988,0.625,0.4,0
0,2,0.216857653,0.45,0.5,3
0,2,5.499503196,0.65,0.7,0
0,2,1.224813231,0.725,0.6,3
67,3,0.528824832,0.325,0.5,1
0,3,0.573081841,0.6,0.9,2
67,3,1.540102856,0.55,0.8,1
0,3,1.583140359,0.725,0.8,2
67,3,2.549381685,0.55,0.6,1
0,1,0.134122335,0.6,0.8,0
0,1,0.586920157,0.525,0.5,1
0,1,1.14349614,0.625,0.6,0
0,1,0.314358849,0.475,0.6,4
0,1,1.596640556,0.6,0.6,1
0,1,2.154772996,0.625,0.8,0
0,1,1.325854882,0.6,0.5,4
67,1,1.676723528,0.8,0.5,1
0,1,3.169156918,0.675,0.5,0
0,1,0.98594426,0.475,0.2,3
67,1,2.690246519,0.55,0.6,1
0,1,1.999314412,0.65,0.6,3
67,1,3.703239977,0.425,0.4,1
0,1,5.193379304,0.55,0.2,0
0,2,0.303369555,0.675,0.7,5
0,1,6.270439373,0.475,0.7,0
0,2,1.315640602,0.4,0.5,5
0,1,7.28271568,0.625,0.5,0
67,3,0.598735898,0.55,0.5,1
0,3,0.263581439,0.6,0.5,2
0,2,6.782089123,0.725,0.6,0
67,3,1.610167931,0.55,0.5,1
0,3,1.273889819,0.725,0.7,2
0,2,7.79538826,0.55,0.6,0
67,3,2.623488402,0.325,0.5,1
50,2,4.539055477,0.625,0.4,0
50,2,5.551415072,0.65,0.7,0
67,1,0.312165316,0.825,0.5,2
0,1,0.736251109,0.6,0.5,0
0,1,0.091019955,0.575,0.6,3
67,1,1.329686114,0.475,0.3,2
0,1,1.750770338,0.625,0.6,0
0,1,1.102764974,0.775,0.5,3
67,1,2.347747844,0.45,0.9,2
0,1,2.770385309,0.625,0.5,0
0,1,0.857830617,0.525,0.5,4
0,1,3.783601743,0.675,0.6,0
0,1,1.871526905,0.8,0.6,4
0,1,4.791113705,0.55,0.7,0
50,1,0.853715915,0.6,0.9,1
0,1,2.233652826,0.625,0.7,0
50,1,1.864957117,0.525,0.9,1
0,1,3.246557152,0.475,0.9,0
0,2,1.048188771,0.525,0.4,1
0,2,2.06924009,0.5,0.5,1
0,2,2.237512697,0.65,0.5,0
0,2,3.250002045,0.625,0.4,0
0,2,4.252068456,0.55,0.7,0
0,3,0.648496906,0.6,0.6,2
67,3,0.572765641,0.55,0.8,1
0,2,5.264139321,0.725,0.7,0
0,3,1.660912902,0.725,0.5,2
67,3,1.584306094,0.325,0.6,1
67,3,2.595648703,0.55,0.7,1
0,1,0.727238509,0.55,0.6,0
0,1,0.688038375,0.525,0.8,1
0,1,1.737690671,0.675,0.2,0
0,1,0.035381762,0.6,0.7,4
0,1,1.704406881,0.6,0.6,1
67,1,0.749497059,0.475,0.6,2
0,1,2.753011213,0.625,0.7,0
0,1,1.05070289,0.475,0.7,4
0,1,0.394112177,0.475,0.5,3
67,1,1.762890882,0.825,0.4,2
0,1,3.767153457,0.625,0.4,0
0,1,1.406885288,0.65,0.6,3
67,1,2.77416686,0.45,0.7,2
0,1,4.781184649,0.6,0.7,0
0,1,2.387051431,0.625,0.2,0
0,1,3.40004255,0.475,0.6,0
0,2,2.796435055,0.725,0.8,0
0,2,3.807716002,0.55,0.7,0
50,2,0.964850275,0.625,0.9,0
0,3,0.75273505,0.725,0.4,2
50,2,1.977330271,0.65,0.4,0
0,3,1.769033711,0.6,0.4,2
0,3,0.251042996,0.325,0.8,1
0,3,1.263533512,0.55,0.5,1
0,3,2.277045399,0.55,0.6,1
0,1,0.086192194,0.625,0.6,0
0,1,0.609687493,0.525,0.6,1
0,1,1.099281797,0.6,0.7,0
0,1,0.888461475,0.575,0.6,3
0,1,1.618197738,0.6,1,1
0,1,2.111869045,0.675,0.4,0
67,1,0.934656019,0.45,0.4,2
0,1,1.901508412,0.775,0.5,3
67,1,1.946291449,0.475,0.5,2
0,1,3.131009715,0.55,0.6,0
0,1,1.860409903,0.475,0.5,3
67,1,2.961908322,0.825,0.6,2
0,1,2.872510576,0.65,0.6,3
0,1,4.148562952,0.625,0.6,0
0,2,0.545668517,0.5,0.5,1
0,2,1.560211124,0.525,0.6,1
0,1,6.524209819,0.625,0.6,0
0,1,7.535209049,0.475,0.7,0
0,3,0.577810242,0.725,0.5,2
0,2,5.723380976,0.625,0.5,0
67,3,0.346543241,0.55,0.4,1
0,3,1.590823864,0.6,0.8,2
0,2,6.736430835,0.65,0.2,0
67,3,1.363491839,0.55,0.5,1
0,2,7.598607898,0.55,0.5,0
67,3,2.376109186,0.325,1,1
0,2,8.611643145,0.725,0.5,0
0,1,0.657324813,0.55,0.4,0
0,1,0.299028369,0.6,0.6,1
0,1,1.669028627,0.625,0.5,0
0,1,1.313501132,0.525,0.6,1
0,1,2.682318997,0.625,0.6,0
67,1,0.887042078,0.45,0.6,2
0,1,0.446610572,0.475,0.6,4
0,1,3.69498924,0.6,0.1,0
67,1,1.89853782,0.825,0.4,2
0,1,1.463147993,0.6,0.5,4
0,1,4.705825401,0.675,0.5,0
67,1,2.909732848,0.475,0.3,2
0,1,1.656756119,0.8,0.6,4
0,1,3.330866753,0.625,0.2,0
0,1,2.669648462,0.525,0.7,4
0,1,4.342265763,0.475,0.4,0
0,2,2.602481796,0.65,0.8,0
0,2,3.614584222,0.625,1,0
0,2,0.224773779,0.4,0.9,5
0,2,4.529906694,0.725,0.5,0
0,2,1.237904588,0.675,0.5,5
0,2,5.540933979,0.55,0.5,0
0,3,0.568942007,0.725,0.6,2
67,3,0.573331412,0.55,0.5,1
0,3,1.580206588,0.6,0.6,2
67,3,1.584311354,0.325,0.4,1
67,3,2.596979552,0.55,0.6,1
0,1,0.689125497,0.625,0.7,0
67,1,0.623035142,0.475,0.9,2
0,1,1.701654298,0.625,0.5,0
67,1,1.635939467,0.45,0.5,2
0,1,0.316550044,0.775,0.2,3
0,1,2.714078768,0.55,0.7,0
67,1,2.648712578,0.825,0.5,2
0,1,1.329393876,0.575,0.5,3
