votesInFavor,distance,ateFavoriteDish,endTime,canteenTime,pastExperience,canteenExperience,canteen
1.00,0.0,1,4.032121936,1.516684164,0.475,0.1,4
1.00,0.0,1,4.037695054,1.801763023,0.47500000000000003,0.9,5
1.00,0.0,1,4.173072272,3.500740355,0.625,0.4,1
0.50,0.0,1,5.103373658,1.436473617,0.6,0.6,2
1.00,0.0,1,5.181704888,4.510195682,0.625,0.6,1
0.50,0.0,1,6.109448163,2.446968304,0.5249999999999999,0.1,2
1.00,0.5,1,6.102759984,3.630877383,0.475,0.6,1
1.00,0.0,0,7.126877796,1.371904384,0.5,0.4,2
1.00,0.5,1,7.111475627,4.643007438,0.625,0.7,1
1.00,0.0,1,8.132129469,2.378226232,0.525,0.4,2
1.00,0.0,1,8.211465207,2.015105103,0.7249999999999999,0.5,1
1.00,0.0,0,9.224704347,3.025281265,0.55,0.6,1
0.50,0.7,1,11.205166325,0.827660639,0.65,0.4,1
1.00,0.0,1,11.194876248,0.853598634,0.7250000000000001,0.6,3
0.67,0.6,1,11.259123322,0.435118552,0.47500000000000003,0.6,6
0.50,0.7,1,12.215988859,1.843252866,0.6249999999999999,0.7,1
1.00,0.0,1,12.192391758,1.867663516,0.6,0.4,3
0.67,0.6,1,12.278784812,1.448722295,0.775,0.5,6
0.67,0.6,1,13.284041358,2.460709722,0.6000000000000001,0.6,6
1.00,0.0,1,1.017884782,0.72576678,0.6,0.5,1
1.00,0.0,0,0.976979069,0.353369267,0.6,0.7,2
1.00,0.0,0,1.993466356,1.741860297,0.625,0.8,1
0.67,0.0,1,1.915513014,0.034992772,0.475,0.5,3
1.00,0.0,1,2.026612835,1.403218303,0.5249999999999999,0.1,2
1.00,0.9,1,1.955229443,0.111977861,0.575,0.5,4
1.00,0.0,1,3.052475188,2.756395428,0.675,0.9,1
0.67,0.0,1,2.932538092,1.051889448,0.825,0.2,3
1.00,0.9,1,2.973054061,1.128072188,0.775,0.4,4
1.00,0.0,0,4.043534751,3.772376634,0.5499999999999999,0.6,1
0.67,0.0,1,3.939778241,2.065296867,0.45,0.6,3
1.00,0.0,0,3.996338393,0.767482896,0.475,0.5,4
1.00,0.0,0,5.092043998,4.788097027,0.625,0.8,1
1.00,0.0,1,5.008769317,1.779451537,0.65,0.5,4
1.00,0.5,1,5.913242904,1.781553342,0.475,0.6,1
1.00,0.5,1,6.89837363,2.792281541,0.625,0.6,1
1.00,0.0,0,8.077622286,2.68516122,0.55,0.5,1
1.00,0.0,1,9.08481186,3.696550151,0.7249999999999999,0.2,1
1.00,0.6,0,9.115671811,0.33683608,0.675,0.7,6
1.00,0.6,1,10.112802311,1.347439796,0.4,0.4,6
1.00,0.0,0,10.966840342,0.502220794,0.6,0.9,3
0.50,0.7,0,11.017171536,0.387811575,0.65,0.5,1
0.67,0.6,1,11.087933359,0.315402601,0.775,0.6,6
1.00,0.0,1,11.988708649,1.515770717,0.7250000000000001,0.9,3
0.50,0.7,1,12.026814292,1.39833996,0.6249999999999999,0.6,1
0.67,0.6,1,12.094071319,1.325973082,0.6000000000000001,0.6,6
0.67,0.6,1,13.111033366,2.33601767,0.47500000000000003,0.5,6
1.00,0.0,1,1.0298502,0.785011103,0.625,0.8,1
0.67,0.0,1,0.958234242,0.515077503,0.475,0.1,3
1.00,0.0,1,1.01712185,0.042726574,0.5249999999999999,0.6,2
