votesInFavor,distance,hasFavoriteDish,endTime,groupID,numStudentQueue,canteenTime,pastExperience,canteenExperience,canteen
1.00,0.5,1,4.31,1,2,2.68,0.48,0.2,0
1.00,0.0,1,6.07,2,2,2.05,0.55,0.5,0
1.00,0.0,1,6.06,2,3,3.06,0.72,0.5,0
0.50,0.7,1,9.36,2,0,0.71,0.65,0.6,0
0.67,0.0,1,10.68,3,0,0.38,0.55,0.9,1
0.50,0.7,0,9.36,2,1,1.72,0.62,0.4,0
0.67,0.0,1,10.67,3,1,1.39,0.32,0.4,1
0.67,0.0,1,10.67,3,2,2.40,0.55,0.6,1
1.00,0.0,1,0.62,1,0,0.39,0.52,0.5,1
0.67,0.7,1,1.68,1,0,0.29,0.65,0.7,0
1.00,0.0,1,0.62,1,1,1.41,0.60,0.6,1
1.00,0.9,1,1.82,1,0,0.09,0.78,0.8,3
0.67,0.7,0,1.70,1,1,1.29,0.48,0.4,0
1.00,0.9,1,1.83,1,1,1.10,0.58,0.5,3
0.60,0.5,1,0.66,1,2,2.42,0.50,0.5,1
1.00,0.9,1,2.25,1,0,0.71,0.52,0.6,4
0.67,0.7,1,1.70,1,2,2.31,0.33,0.8,0
0.60,0.5,1,0.65,1,3,3.46,0.48,0.4,1
1.00,0.9,1,2.24,1,1,1.74,0.80,0.5,4
0.60,0.5,1,0.66,1,4,4.45,0.65,0.7,1
0.50,0.5,1,5.41,1,0,0.53,0.63,0.4,0
0.60,0.5,1,0.65,1,5,5.46,0.75,0.6,1
0.50,0.5,0,5.41,1,1,1.54,0.48,0.7,0
0.60,0.5,0,0.63,1,6,6.48,0.63,0.6,1
1.00,0.7,1,5.79,2,2,2.21,0.62,0.6,0
1.00,0.0,0,6.39,2,1,1.71,0.50,0.5,1
1.00,0.7,0,5.83,2,3,3.21,0.65,0.4,0
1.00,0.0,0,6.39,2,2,2.73,0.53,0.2,1
1.00,0.0,1,6.15,2,3,3.98,0.55,0.6,0
1.00,0.0,0,10.67,3,0,0.36,0.73,0.5,2
1.00,0.0,0,6.14,2,4,4.99,0.72,0.5,0
1.00,0.0,0,10.67,3,1,1.37,0.60,0.9,2
0.67,0.6,1,13.32,3,0,0.87,0.48,0.5,5
0.67,0.6,0,13.31,3,1,1.88,0.78,0.9,5
0.67,0.6,0,13.32,3,2,2.87,0.60,0.5,5
1.00,0.0,1,0.57,1,0,0.43,0.52,0.4,1
1.00,0.0,0,0.46,1,0,0.58,0.55,0.6,0
1.00,0.0,1,0.47,1,1,1.61,0.60,0.4,0
1.00,0.0,1,0.57,1,1,1.47,0.60,0.7,1
0.67,0.0,1,1.73,1,0,0.27,0.45,0.1,2
1.00,0.0,1,0.46,1,2,2.63,0.63,0.4,0
0.67,0.0,1,1.74,1,1,1.28,0.48,0.7,2
1.00,0.0,1,0.48,1,3,3.64,0.63,0.7,0
